8,Hand.Cannot.Erase,Happy Returns / Ascendant Here On...,7:54
1,The Raven That Refused to Sing,Luminol,12:10
2,The Raven That Refused to Sing,Drive Home,7:37
3,The Raven That Refused to Sing,The Holy Drinker,10:13
4,The Raven That Refused to Sing,The Pin Drop,5:03
5,The Raven That Refused to Sing,The Watchmaker,11:42
6,The Raven That Refused to Sing,The Raven That Refused to Sing,7:57
1,To the Bone,To the Bone,6:41
2,To the Bone,Nowhere Now,4:03
3,To the Bone,Pariah,4:46
4,To the Bone,The Same Asylum as Before,5:14
5,To the Bone,Refuge,6:43
6,To the Bone,Permanating,3:34
7,To the Bone,Blank Tapes,2:08
8,To the Bone,People Who Eat Darkness,6:02
9,To the Bone,Song of I,5:21
10,To the Bone,Detonation,9:19
11,To the Bone,Song of Unborn,5:55
1,THE FUTURE BITES,Unself,1:05
2,THE FUTURE BITES,Self,2:55
3,THE FUTURE BITES,King Ghost,4:06
4,THE FUTURE BITES,12 Things I Forgot,4:42
5,THE FUTURE BITES,Eminent Sleaze,3:52
6,THE FUTURE BITES,Man of the People,4:41
7,THE FUTURE BITES,Personal Shopper,9:49
8,THE FUTURE BITES,Follower,4:39
9,THE FUTURE BITES,Count of Unease,6:08
1,Metaphorical Music,Blessing It (feat. Substantial & Pase Rock),3:23
2,Metaphorical Music,Horn in the Middle,4:08
3,Metaphorical Music,Lady Brown (feat. Cise Starr),3:18
4,Metaphorical Music,Kumomi,3:53
5,Metaphorical Music,Highs 2 Lows (feat. Cise Starr),4:38
6,Metaphorical Music,Beat Laments the World,4:22
7,Metaphorical Music,Letter from Yokosuka,3:10
8,Metaphorical Music,Think Different (feat. Substantial),3:17
9,Metaphorical Music,A Day by Atmosphere Supreme,3:59
10,Metaphorical Music,Next View (feat. Uyama Hiroto),4:35
11,Metaphorical Music,Latitude (feat. Five Deez),3:56
12,Metaphorical Music,F.I.L.O. (feat. Shing02),3:31
13,Metaphorical Music,Summer Gypsy,4:19
14,Metaphorical Music,The Final View,3:35
15,Metaphorical Music,Peaceland,8:19
1,Modal Soul,Feather (feat. Cise Starr & Akin),2:55
2,Modal Soul,Ordinary Joe (feat. Terry Callier),5:07
3,Modal Soul,Reflection Eternal,4:17
4,Modal Soul,Luv (Sic.) Part 3 (feat. Shing02),5:36
5,Modal Soul,Music Is Mine,4:20
6,Modal Soul,Eclipse (feat. Substantial),3:34
7,Modal Soul,The Sign (feat. Pase Rock),4:49
8,Modal Soul,Thank You (feat. Apani B),4:09
9,Modal Soul,World's End Rhapsody,5:41
10,Modal Soul,Modal Soul (feat. Uyama Hiroto),4:41
11,Modal Soul,Flowers,3:59
12,Modal Soul,Sea of Cloud,3:01
13,Modal Soul,Light on the Land,3:55
14,Modal Soul,Horizon,7:20
1,Heavy Weather,Birdland,5:57
2,Heavy Weather,A Remark You Made,6:51
3,Heavy Weather,Teen Town,2:51
4,Heavy Weather,Harlequin,3:59
5,Heavy Weather,Rumba Mama,2:11
6,Heavy Weather,Palladium,4:46
7,Heavy Weather,The Juggler,5:03
8,Heavy Weather,Havona,6:01
